sku,name,category,price,currency,marketplace,inventory_level
LAPTOP-001,Gaming Laptop Pro,Electronics,1299.99,USD,our_store,50
LAPTOP-002,Business Laptop,Electronics,899.99,USD,our_store,75
MOUSE-001,Wireless Gaming Mouse,Electronics,79.99,USD,our_store,200
MOUSE-002,Ergonomic Mouse,Electronics,49.99,USD,our_store,150
KEYBOARD-001,Mechanical Keyboard RGB,Electronics,149.99,USD,our_store,100
KEYBOARD-002,Wireless Keyboard,Electronics,89.99,USD,our_store,120
MONITOR-001,4K Gaming Monitor,Electronics,599.99,USD,our_store,30
MONITOR-002,Ultrawide Monitor,Electronics,799.99,USD,our_store,25
HEADSET-001,Gaming Headset,Electronics,129.99,USD,our_store,80
HEADSET-002,Wireless Headset,Electronics,179.99,USD,our_store,60
DESK-001,Standing Desk,Furniture,499.99,USD,our_store,40
CHAIR-001,Ergonomic Office Chair,Furniture,349.99,USD,our_store,55
WEBCAM-001,HD Webcam,Electronics,89.99,USD,our_store,90
MIC-001,USB Microphone,Electronics,119.99,USD,our_store,70
SPEAKER-001,Bluetooth Speaker,Electronics,149.99,USD,our_store,100
